lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos ; measuredOmega ; filteredOmega ; wheelSpeeds ; measuredSpeed ; filteredMeasuredSpeed
0.000000 0.000000 0.000000 ; -0.000075 0.000447 0.453463 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.193700 ; 0.000000 ; -0.079657 0.433295 -0.099599 0.413353 ; 0.000185 0.004671 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000075 0.000459 0.459021 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.248330 ; 0.000000 ; -0.079657 0.433295 -0.084643 0.468138 ; 0.000000 0.005089 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000075 0.000472 0.464794 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.335617 ; 0.000000 ; -0.079657 0.433295 -0.084643 0.468138 ; 0.000295 0.005621 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000074 0.000485 0.470706 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.335617 ; 0.000000 ; -0.079657 0.433295 -0.084643 0.468138 ; 0.000295 0.005621 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000073 0.000499 0.476481 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.335617 ; 0.000000 ; -0.079657 0.433295 -0.084643 0.468138 ; 0.000295 0.005621 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000072 0.000512 0.482279 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.335617 ; 0.000000 ; -0.099599 0.453182 -0.084643 0.468138 ; 0.000295 0.005621 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000072 0.000525 0.488279 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.422903 ; 0.000000 ; -0.099599 0.453182 -0.139428 0.537879 ; -0.000000 0.005620 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000070 0.000538 0.494931 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.695810 ; 0.000000 ; -0.099599 0.453182 -0.139428 0.537879 ; 0.000922 0.005734 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000068 0.000552 0.501603 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.695810 ; 0.000000 ; -0.099599 0.453182 -0.139428 0.537879 ; 0.000922 0.005734 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000066 0.000565 0.508253 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.695810 ; 0.000000 ; -0.129457 0.542865 -0.139428 0.537879 ; 0.000922 0.005734 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000066 0.000580 0.515604 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 2.957791 ; 0.000000 ; -0.129457 0.542865 -0.209169 0.657420 ; 0.000037 0.006191 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000062 0.000595 0.523937 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 3.372614 ; 0.000000 ; -0.129457 0.542865 -0.209169 0.657420 ; 0.001439 0.006570 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000059 0.000611 0.532246 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 3.372614 ; 0.000000 ; -0.129457 0.542865 -0.209169 0.657420 ; 0.001439 0.006570 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000056 0.000626 0.540561 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 3.372614 ; 0.000000 ; -0.129457 0.542865 -0.209169 0.657420 ; 0.001439 0.006570 ; 0.000000 0.000000 ; 0.000000 0.000000
